standard_family_id,standard_family_key
FAM-539124DE77EB,IS 8461
FAM-AEDDEDA779B0,IS 1448
FAM-42F7326E789A,IS 13360
FAM-788C7E8B4EE2,IS 16861
FAM-372F6A7C57B4,IS 14385
FAM-4453F447FE64,IS 13123
FAM-C9727BB156EC,IS 16061
FAM-44A6F8455796,IS 11604
FAM-5BF4BA68F74F,IS 15641
FAM-5227017F7FA1,IS 19685
FAM-41EC213A839E,IS 19681
FAM-F45DF6A53205,IS 19683
FAM-FF3D3C234BD9,IS 19682
FAM-05E72734DC29,IS 19487
FAM-CC5987D557D5,IS 19733
FAM-2E5A32DB0B58,IS 19694
FAM-A319F142BD5E,IS 19769
FAM-FAB059CBFF63,IS 17118
FAM-C62CBC88A650,IS 19768
FAM-75EE301F0A41,IS 8345
FAM-9B1659B3814F,IS 7116
FAM-05784D3918DB,IS 7117
FAM-F34E13F942A8,IS 11889
FAM-FC37F8D29F0A,IS 12256
FAM-B0F971EA22F9,IS 8773
FAM-C5C8E2A02BE1,IEC 61000
FAM-3359003C0B94,IS 19638
FAM-50010170FB69,IS 19512
FAM-87E8DFA8333D,IS 18972
FAM-A103A02E1E9A,IS/IEC 60669
FAM-F92C20E4D92F,IS 7039
FAM-A44B409D85A3,IS 10156
FAM-D8DBC9196E1B,IS 7080
FAM-87B47493D30D,IS 6510
FAM-3A6C48CD2086,IS 6589
FAM-5A1442A10084,IS 6436
FAM-174788340F61,IS 7432
FAM-26DAC5FFF7D3,IS 16463
FAM-BD038E7AF16E,IS 19808
FAM-D3FE87F88152,IS 19806
FAM-340EFE445C77,IS 19804
FAM-6CAA8DAF9D29,IS 19805
FAM-B2DB77677773,IS 19807
FAM-BA9BDC4B69F3,IS 19631
FAM-E6FD768C4442,IS 13970
FAM-7BFBE28D5DA6,IS 19642
FAM-96463772E062,IS/ISO/IEC 5259
FAM-D57DA0222CAE,IS/ISO/IEC 42005
FAM-920BFEEDDA58,IS/ISO/IEC 42006
FAM-E58EB70A51B0,IS/ISO/IECTR 20226
FAM-D16B22A832F7,IS/ISO/IECTS 12791
FAM-F32D617BBB20,IS/ISO/IECTR 24027
FAM-38EC0DD2362E,IS 12556
FAM-BF4B9A993999,IS 8572
FAM-78391DB80C66,IS 19490
FAM-65B865924060,IS 10408
FAM-9D30B3A29EE1,IS 5367
FAM-31BCD46F71D3,IS 7906
FAM-922AD7AAD8BB,IS 2742
FAM-FD7F3E072F02,IS 1887
FAM-754A50BC13A3,IS 19780
FAM-05B2408C6A77,IS 11682
FAM-1899EEAC6F65,IS 813
FAM-A8A8E8887061,IS 8604
FAM-A9BB1061E467,IS 19773
FAM-60A3E86537FB,IS 19784
FAM-B50EBA1F2E44,IS 19754
FAM-3C5983B5B725,IS 19704
FAM-3625C130BB23,IS 19755
FAM-15115B22EA50,IS/ISO 14067
FAM-94935196D5DC,IS 8593
FAM-EFF77BFFBF6A,IS 19795
FAM-3168D3EA5247,IS 19802
FAM-4D5E79BAC1E9,IS 19800
FAM-5E35F253E28D,IS 19799
FAM-66BE8C2CC111,IS 19798
FAM-65324AB04D64,IS 19796
FAM-095232D9E179,IS 19793
FAM-7AC638B3F014,IS 19794
FAM-B4F5EB31C11A,IS/ISO 19803
FAM-E41210948C2D,IS/ISO 19801
FAM-2A5A8170A32F,IS 19684
FAM-ABE5F47BAD1F,IS 6592
FAM-C137CA2AB869,IS 18568
FAM-110653D43AAA,IS 3018
FAM-08A653922445,IS 1171
FAM-6170C66B2C95,IS 10386
FAM-027B5A3CF1C8,IS 1200
FAM-8252B06E34D3,IS 18641
FAM-6F1787EAA1A9,IS 19738
FAM-F0DAA6A0D164,IS 19452
FAM-6B50275FFA47,IS 19744
FAM-0AD788F9F64D,IS 228
FAM-CFDA644C94C2,IS 8073
FAM-300507CB5F11,IS 6231
FAM-0B35273F1443,IS 2977
FAM-0C4D06396122,IS 2637
FAM-2D38D0F50573,IS 5273
FAM-2217CCE2B1FC,IS 12991
FAM-BDAF6384B3C7,IS 13162
FAM-EB633ABC348E,IS 14351
FAM-DF7ED022A140,IS 5085
FAM-449072065D56,IS 11740
FAM-CADF614B414D,IS 2873
FAM-F8EB4D419AEE,IS 9846
FAM-00ED4E41A1F9,IS 11596
FAM-B14551C4365E,IS 1433
FAM-0E59DC67AC76,IS 5934
FAM-DD012BE00BBC,IS 17474
FAM-D25490EE3689,IS 19706
FAM-6BB8EC017155,IS 19728
FAM-61F1A949C17B,IS 19758
FAM-2256CC7A3186,IS 19727
FAM-A6AF6EC0D58E,IS 19777
FAM-B0A2F00DC9B9,IS 19776
FAM-AD8275E88F9C,IS 19703
FAM-888FAB1F40BA,IS 19660
FAM-C84C74B5F8A0,IS 19764
FAM-D8A7FA9011E1,IS 19767
FAM-2FF49763C689,IS 18538
FAM-FF5C22643E3D,IS 19774
FAM-D92312AF60C5,IS 17260
FAM-2D46C62AA007,IS 2974
FAM-C77AC54185B6,IS 3111
FAM-605D2CB1FF04,IS 19687
FAM-639234264D4B,IS 11442
FAM-7E99C8DE9A58,IS 5042
FAM-C4159625ED88,IS 9863
FAM-0662AFB2F764,IS 9341
FAM-7081B8F47000,IS 5182
FAM-44C42689E99B,IS 12161
FAM-A51BA0A289C2,IS 12061
FAM-E329607568EA,IS 11081
FAM-3807FCFE0D2B,IS 13172
FAM-938E3BEA8033,IS 5676
FAM-21C172F75F54,IS 16991
FAM-D333A50A80B5,IS 6664
FAM-38B15C7BF1D9,IS 1982
FAM-80EE1DF175FE,IS 563
FAM-37BE1B94028F,IS 1050
FAM-3E613229DDE8,IS 19770
FAM-5BB7D3075A58,IS 19760
FAM-9E1E07B09EBB,IS 19467
FAM-FD3ADBBCD6B2,IS 4825
FAM-B43426D33276,IS 6017
FAM-7D0B9B9088B0,IS 8728
FAM-4C138127B3BD,IS 12244
FAM-155FDCCFA1C8,IS 5868
FAM-0452554AF53D,IS 11646
FAM-A755C23D5569,IS 5145
FAM-B302C148AB8D,IS 6112
FAM-7A4D33740661,IS 6464
FAM-3AB17937CC30,IS 19477
FAM-90FA47620194,IS 18875
FAM-8EF75F5534DF,IS 19433
FAM-9271704F3ACC,IS 18667
FAM-1F815D85C223,IS 19697
FAM-3E788919FB6B,IS 6909
FAM-CD7486D73B4F,IS 8041
