standard_id,standard_number,title,title_normalized,v03_duplicate_status
MSV1-7F63E636430637A7,SP 74:2025,REVISED STATE OF THE ART OF METRIC SYSTEM IN INDIA (An update to the SP4 : 1969 Metric Change in India),revised state of the art of metric system in india an update to the sp4 1969 metric change in india,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D6A739A02EDD5036,IS 13980:2025,ACCEPTANCE TESTS ON INDUSTRIAL BOILERS CODE OF PRACTICE,acceptance tests on industrial boilers code of practice,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D15DB33D1A3EAA7D,IS 16180 (Part 13):2025,Fibre optic connector interfaces Part 13: Type FC-PC connector First Revision,fibre optic connector interfaces part 13 type fc pc connector first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-42EA67BFC231EA60,IS/IEC 61400 (Part 29):2023,Wind Energy Generation Systems Part 29 Marking and Lighting of Wind Turbines,wind energy generation systems part 29 marking and lighting of wind turbines,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-4782A781A44A7EBD,IS 9873 (Part 1):2025,SAFETY OF TOYS PART 1: SAFETY ASPECTS RELATED TO MECHANICAL AND PHYSICAL PROPERTIES (Fifth Revision),safety of toys part 1 safety aspects related to mechanical and physical properties fifth revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-869FF77DFAA34321,IS 9873 (Part 6):2025,SAFETY OF TOYS PART 6 CERTAIN PHTHALATE ESTERS (Second Revision ),safety of toys part 6 certain phthalate esters second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-675D40D5E67B0869,IS/IEC TS 61400 (Part 29):2023,Wind energy generation systems Part 29: Marking and lighting of wind turbines,wind energy generation systems part 29 marking and lighting of wind turbines,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E141BC5B82BA745D,IS 19329 (Part 4):2025,Prefilled Syringes Part 4 Glass Barrels for Injectables and Sterilized Subassembled Syringes Ready for Filling,prefilled syringes part 4 glass barrels for injectables and sterilized subassembled syringes ready for filling,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-3C752E694AB54BBE,IS 18881 (Part 1):2025,Aseptic Processing of Health Care Products Part 1 General Requirements,aseptic processing of health care products part 1 general requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E3171F4AA43D63C3,SP 4:2025,Revised State of the Art of Metric System in India (An update to the SP4 : 1969 Metric change in India),revised state of the art of metric system in india an update to the sp4 1969 metric change in india,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-146D0B5543C3EC22,IS 19185:2025,Tools for pressing - Sliding plates,tools for pressing sliding plates,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-02FCBCCA03862E8E,IS 18696:2024,Anaesthetic and Respiratory Equipment- Oropharyngeal Airways,anaesthetic and respiratory equipment oropharyngeal airways,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-CF4E1590BB1890E9,IS 14990 (Part 5):2024,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",information security cybersecurity and privacy protection evaluation criteria for it security part 5 pre defined packages of security requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-5491C276F0D7B9EA,IS 13834 (Part 2):2023,Cranes - Classification Part 2 Mobile Cranes (First Revision),cranes classification part 2 mobile cranes first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-EFE2173FFE5A19D2,IS 18375 (Part 1):2023,Medical Suction Equipment Part 1 Electrically Powered Suction Equipment,medical suction equipment part 1 electrically powered suction equipment,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-64BDC07C869CC4C6,IS 18339:2023,SPACE SYSTEMS PROGRAMME MANAGEMENT PROJECT ORGANIZATION,space systems programme management project organization,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-904221444FADF2F9,IS 15586:2022,Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),securities and related financial instruments classification of financial instruments cfi code third revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-0E9CC80AA6902BA6,IS 15586:2021,Securities and related financial instruments- Classification of financial instruments CFI code (Third Revision),securities and related financial instruments classification of financial instruments cfi code third revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-CF08201B76026BBE,IS 13450 (Part 2/Sec 35):2023,Medical Electrical Equipment Part 2 Particular Requirements for the Basic Safety and Essential Performance Section 35 Heating devices using blankets pads or mattresses and intended for heating in medical use,medical electrical equipment part 2 particular requirements for the basic safety and essential performance section 35 heating devices using blankets pads or mattresses and intended for heating in medical use,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-A5D3550C6BF8B082,IS/ISO 13408 (Part 1):2008,Aseptic processing of health care products Part 1 General requirements,aseptic processing of health care products part 1 general requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-8AD9FBF67A083746,IS 9317:2022,SKIS VOCABULARY,skis vocabulary,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-C2D91E8A782D4CC4,IS/ISO 4301 (Part 2):2022,Cranes Classification Part 2 Mobile Cranes (First Revision),cranes classification part 2 mobile cranes first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-97085C279BDC22FF,IS 1448 (Part 186):2021,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,petroleum products and related products determination of kinematic viscosity method by stabinger type viscometer,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-DAB81132A37570EC,IS/ISO 14533 (Part 3):2017,Processes data elements and documents in commerce industry and administration- Long term signature profiles- Part 3: Long term signature profiles for PDF Advanced Electronic Signatures PAdES,processes data elements and documents in commerce industry and administration long term signature profiles part 3 long term signature profiles for pdf advanced electronic signatures pades,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-F00D0C3DB033508F,IS 1448 (Part 187):2021,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,methods of test for petroleum and its products part 187 petroleum products determination of sulfated ash in lubricating oils and additives,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-B174B158F37295FE,IS 9873 (Part 6):2021,SAFETY OF TOYS PART 6 CERTAIN PHTHALATE ESTERS (Second Revision ),safety of toys part 6 certain phthalate esters second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-238B9DBBEBC29A75,IS/ISO 12619 (Part 1):2014,Road Vehicles Compressed Gaseous Hydrogen CGH2 And Hydrogen Natural Gas Blend Fuel System Components Part 1: General Requirements And Definitions,road vehicles compressed gaseous hydrogen cgh2 and hydrogen natural gas blend fuel system components part 1 general requirements and definitions,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-8F9717D205BE4E52,IS/ISO 12619 (Part 16):2017,Road Vehicles Compressed Gaseous Hydrogen CGH2 And Hydrogen Natural Gas Blend Fuel System Components Part 1: General Requirements And Definitions,road vehicles compressed gaseous hydrogen cgh2 and hydrogen natural gas blend fuel system components part 1 general requirements and definitions,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-5B1EA1C402E46A29,IS/ISO 11040 (Part 4):2015,Prefilled syringes Part 4 Glass barrels for injectables and sterilized subassembled syringes ready for filling,prefilled syringes part 4 glass barrels for injectables and sterilized subassembled syringes ready for filling,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-4C932F71F56EA4BD,IS 17467 (Part 3):2020,Protective Clothing - Test Methods for Clothing Providing Protection against Chemicals Part 4 Determination of Resistance to Penetration by a Spray of Liquid ( Spray Test ),protective clothing test methods for clothing providing protection against chemicals part 4 determination of resistance to penetration by a spray of liquid spray test,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-BCDD66FD199682C1,IS 17467 (Part 4):2020,Protective Clothing - Test Methods for Clothing Providing Protection against Chemicals Part 4 Determination of Resistance to Penetration by a Spray of Liquid ( Spray Test ),protective clothing test methods for clothing providing protection against chemicals part 4 determination of resistance to penetration by a spray of liquid spray test,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-7D7BF9E08C2FC689,IS/IEC 61196 (Part 6/Sec 4):2020,Coaxial Communication Cables Part 6 CATV Drop Cables Section 4 Detail specification for 75-7 type cables,coaxial communication cables part 6 catv drop cables section 4 detail specification for 75 7 type cables,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D5E7CAEC37E0BA63,IS/IEC 611196 (Part 6/Sec 4):2020,Coaxial Communication Cables Part 6 CATV Drop Cables Section 4 Detail specification for 75-7 type cables,coaxial communication cables part 6 catv drop cables section 4 detail specification for 75 7 type cables,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D99C2EC5271E9BCE,IS/IEC 80601 (Part 2/Sec 35):2009,"Medical Electrical Equipment Part 2 Particular Requirements for the Basic Safety and Essential Performance Section 35 Heating devices using blankets, pads or mattresses and intended for heating in medical use",medical electrical equipment part 2 particular requirements for the basic safety and essential performance section 35 heating devices using blankets pads or mattresses and intended for heating in medical use,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-409B8B539F8BD5DE,IS/IEC 60096 (Part 0/Sec 1):2017,Radio Frequency Cables Part 0 Guidelines to the Design of Detail Specifications Section 1 Coaxial cables,radio frequency cables part 0 guidelines to the design of detail specifications section 1 coaxial cables,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-72F43B9D5615FA89,IS/ISO 11893:2011,Space Systems — Programme Management — Project Organization,space systems programme management project organization,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-1D4306A00CBC72EE,IS 16276 (Part 2):2020,Document Management — Portable Document Format Part 2 PDF 2.0,document management portable document format part 2 pdf 2 0,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-F32B6DB333A037F5,IS/ISO 17745:2016,Steel Wire Ring Net Panels — Definitions and Specifications,steel wire ring net panels definitions and specifications,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6843FC4FFFB1C04D,IS/ISO 17746:2016,Steel Wire Ring Net Panels — Definitions and Specifications,steel wire ring net panels definitions and specifications,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-29AA120B6B4A2944,IS/ISO 19014 (Part 1):2018,Earth-Moving Machinery - Functional Safety Part 1 Methodology to Determine Safety-related Parts of the Control System and Performance Requirements,earth moving machinery functional safety part 1 methodology to determine safety related parts of the control system and performance requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-02A01960382F416E,IS/ISO 19104 (Part 1):2018,Earth-Moving Machinery - Functional Safety Part 1 Methodology to Determine Safety-related Parts of the Control System and Performance Requirements,earth moving machinery functional safety part 1 methodology to determine safety related parts of the control system and performance requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-A899A2DFA4CF4E13,IS/ISO 1135 (Part 4):2015,"Transfusion Equipment for Medical Use Part 4 Transfusion Sets for Single use, Gravity Feed",transfusion equipment for medical use part 4 transfusion sets for single use gravity feed,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-41CB32C05D121792,IS 17189:2019,Traceability of Crustacean Products — Specifications on the Information to be Recorded in Captured Crustacean Distribution Chains,traceability of crustacean products specifications on the information to be recorded in captured crustacean distribution chains,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-A3566BCCCE743277,IS 17187:2019,Traceability of crustacean products - Specifications on the information to be recorded in captured crustacean distribution chains,traceability of crustacean products specifications on the information to be recorded in captured crustacean distribution chains,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-42CEAEEC145111C2,IS 9873 (Part 1):2019,SAFETY OF TOYS PART 1: SAFETY ASPECTS RELATED TO MECHANICAL AND PHYSICAL PROPERTIES (Fifth Revision),safety of toys part 1 safety aspects related to mechanical and physical properties fifth revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-9471DA8CB4B15DAD,IS/ISO 15924:2004,Information and documentation - Codes for the representation of names of scripts,information and documentation codes for the representation of names of scripts,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-5F3ED20F4F98A7DF,IS/ISO 15883 (Part 3):2006,Washer - Disinfectors: Part 3 requirements and tests for washer - Disinfectors employing thermal disinfection for human waste containers,washer disinfectors part 3 requirements and tests for washer disinfectors employing thermal disinfection for human waste containers,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-37D5A173967B1DBB,IS 6887 (Part 2):2018,Dentistry — Base Polymers Part 2 Orthodontic Base Polymers ( First Revision ),dentistry base polymers part 2 orthodontic base polymers first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-69A536CB307AFAD1,IS 14836 (Part 2):2018,Codes for the representation of names of countries and their subdivisions: Part 2 country subdivision codes,codes for the representation of names of countries and their subdivisions part 2 country subdivision codes,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-2BC291300F2EF4BD,IS 16180 (Part 13):2018,Fibre optic connector interfaces Part 13: Type FC-PC connector First Revision,fibre optic connector interfaces part 13 type fc pc connector first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-8E80D9F5540F8CBE,IS/IEC/TS 62556:2014,Ultrasonics - Field characterization - Specification and measurement of field parameters for high intensity therapeutic ultrasound (HITU) transducers and systems,ultrasonics field characterization specification and measurement of field parameters for high intensity therapeutic ultrasound hitu transducers and systems,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6DE9D8CDE14A57B4,IS 14836 (Part 3):2018,Codes for the representation of namesof countries and their subdivisions: Part 3 code for formerly used names of countries,codes for the representation of namesof countries and their subdivisions part 3 code for formerly used names of countries,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-8C71F71574D2DED0,IS/ISO 16671:2015,Ophthalmic implants - Irrigating solutions for ophthalmic surgery,ophthalmic implants irrigating solutions for ophthalmic surgery,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-19C4649763F12E79,IS 16789:2018,Information and documentation - Digital records conversion and migration process,information and documentation digital records conversion and migration process,DUPLICATE_NORMALIZED_TITLE_RETAINED
